area,block,avg_price_40,avg_price_32,times_40_higher,times_32_higher,times_equal,avg_diff
北海道,1,15.803333333333335,0.6690654205607477,211,3,0,15.484626168224299
北海道,2,15.40936936936937,33.34948598130841,191,23,0,-17.59200934579439
北海道,3,12.90846846846847,43.784065420560744,185,29,0,-31.09257009345795
北海道,4,15.47635135135135,2.4371962616822427,201,13,0,12.97233644859813
北海道,5,12.688918918918919,15.38051401869159,172,42,0,-2.814813084112149
北海道,6,15.28301801801802,89.91453271028037,129,85,0,-74.43252336448597
北海道,7,15.55572072072072,33.44593457943925,191,23,0,-17.658364485981313
北海道,8,10.355045045045044,0.3671495327102804,213,1,0,9.719906542056075
東北,1,4.538828828828829,0.20018691588785045,208,0,6,3.8611682242990657
東北,2,4.662792792792792,0.10644859813084112,210,0,4,4.097336448598131
東北,3,5.3773423423423425,0.279392523364486,205,4,5,4.588691588785046
東北,4,5.458108108108108,1.9326168224299067,186,22,6,3.0847196261682237
東北,5,5.602927927927928,2.5293925233644865,185,26,3,2.6473364485981308
東北,6,5.377432432432432,45.42817757009345,146,65,3,-40.49074766355141
東北,7,6.09954954954955,0.7693457943925235,205,7,2,4.921168224299066
東北,8,4.551441441441441,0.2091121495327103,208,1,5,3.8021962616822425
東京,1,2.2339189189189192,2.759392523364486,149,36,29,-0.5920560747663546
東京,2,2.046351351351351,3.5771495327102807,115,52,47,-1.612476635514019
東京,3,4.3078828828828835,25.461775700934577,125,80,9,-21.171542056074767
東京,4,3.5570720720720725,60.91831775700934,117,97,0,-57.38644859813085
東京,5,4.828783783783784,66.9107476635514,106,108,0,-62.076775700934576
東京,6,3.3609909909909903,67.10649532710279,93,121,0,-63.81957943925234
東京,7,4.912297297297298,11.6003738317757,170,44,0,-6.704672897196263
東京,8,1.6581981981981986,8.647009345794393,160,46,8,-6.968691588785045
中部,1,0.0,2.093271028037383,0,37,177,-2.093271028037383
中部,2,0.0,12.07771028037383,0,59,155,-12.07771028037383
中部,3,0.0,31.347570093457943,0,197,17,-31.34757009345794
中部,4,0.013558558558558557,37.89789719626168,2,186,26,-37.88383177570093
中部,5,0.037657657657657655,61.58191588785048,2,179,33,-61.54285046728972
中部,6,1.0655405405405405,84.34953271028036,38,148,28,-83.24415887850468
中部,7,1.4804054054054052,16.139766355140186,70,88,56,-14.635467289719628
中部,8,1.4449099099099099,7.6693925233644835,90,72,52,-6.174252336448599
北陸,1,0.7036486486486487,0.07401869158878505,187,2,25,0.5951401869158879
北陸,2,0.7804054054054054,0.23074766355140186,148,9,57,0.4744392523364486
北陸,3,0.8895945945945947,0.26948598130841117,104,7,103,0.5377570093457943
北陸,4,1.2848198198198197,0.2897196261682243,124,7,83,0.9276168224299065
北陸,5,1.265990990990991,0.35275700934579446,123,9,82,0.841588785046729
北陸,6,2.707522522522522,0.7959345794392523,156,17,41,1.8814953271028039
北陸,7,2.980810810810811,0.6011214953271028,186,12,16,2.3739719626168223
北陸,8,1.2585585585585584,0.06289719626168226,192,1,21,1.1372429906542056
関西,1,3.631846846846847,0.10009345794392524,198,0,16,3.4340186915887854
関西,2,3.887837837837838,0.20649532710280372,188,2,24,3.6030373831775697
関西,3,8.55481981981982,0.8328037383177571,199,8,7,7.794906542056076
関西,4,9.736621621621621,5.105046728971963,189,24,1,4.751915887850467
関西,5,9.067387387387388,20.37967289719626,148,65,1,-11.226682242990655
関西,6,7.821396396396397,18.921915887850467,127,87,0,-11.078971962616823
関西,7,6.003738738738738,0.5535046728971963,202,11,1,5.42411214953271
関西,8,4.44536036036036,0.07626168224299065,210,0,4,4.321775700934579
中国,1,1.577972972972973,0.14023364485981307,212,1,1,1.451355140186916
中国,2,1.813243243243243,1.0950000000000002,204,8,2,0.7095327102803737
中国,3,1.4783783783783782,4.160607476635514,169,34,11,-2.713457943925234
中国,4,1.8859009009009011,15.57294392523364,137,48,29,-13.68373831775701
中国,5,2.0489639639639634,16.718551401869156,138,52,24,-14.651214953271028
中国,6,4.182342342342342,18.529953271028038,151,60,3,-14.333317757009347
中国,7,4.933063063063062,3.5007009345794384,193,21,0,1.4876635514018692
中国,8,2.392747747747748,0.8354672897196262,207,7,0,1.5807476635514017
四国,1,4.017657657657658,0.09214953271028038,213,0,1,4.047383177570094
四国,2,3.616891891891892,0.14130841121495327,214,0,0,3.568271028037383
四国,3,5.835810810810811,0.28191588785046723,214,0,0,5.7283177570093455
四国,4,7.3592342342342345,0.3167757009345795,214,0,0,7.226682242990655
四国,5,7.516441441441441,0.30855140186915886,214,0,0,7.3779906542056075
四国,6,6.549234234234236,0.2931775700934579,214,0,0,6.318551401869158
四国,7,5.232882882882883,0.2779439252336448,214,0,0,5.011869158878505
四国,8,3.420585585585586,0.19060747663551397,214,0,0,3.312336448598131
九州,1,11.763873873873873,0.1192056074766355,214,0,0,11.488504672897196
九州,2,13.177972972972974,0.17462616822429908,214,0,0,12.907336448598132
九州,3,13.459099099099099,56.739158878504675,152,62,0,-43.36126168224299
九州,4,15.531666666666668,1.8112616822429908,211,3,0,13.910373831775699
九州,5,11.945270270270269,1.7392056074766356,205,9,0,9.981168224299067
九州,6,8.079549549549549,83.952523364486,113,101,0,-76.23280373831776
九州,7,12.391666666666667,4.210140186915888,193,21,0,8.166495327102805
九州,8,12.300180180180181,0.36280373831775703,208,3,3,11.87785046728972
